TF	M1	M2	M3	M4	M5	M6	M7
AHR	0.7373463080510194	-0.8439663352750852	-0.048286610645521456	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
ALX1	-1.6169531538284387	-1.5849481079736996	-1.5208410151355243	2.1085291679345106	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
ALX3	-0.4017381527053248	1.4719471958613757	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-0.49661806176932294
AR	-0.8298919133912409	-1.32585672706154	-1.5208410151355243	0.43686354611379946	-1.9860930652996192	-1.4927894693524473	-0.02468017535971937
ARID5A	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
ARID5B	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
ARNT	-0.7087686758746137	-1.241979510248455	0.18560636214406426	-1.2484659620808498	-1.943165828890609	-0.5897127215390863	-1.386932043643891
ARNT2	0.7192358842153117	-1.1281458467224683	-1.5208410151355243	-0.7903064313965764	-0.702331269324429	-1.4927894693524473	-0.8930209031397547
ARNTL	-1.6169531538284387	-1.5849481079737007	-0.15501579595353712	-0.8088422404651192	0.362053563717143	-1.4927894693524473	-1.386932043643891
ARNTL2	-1.6169531538284387	-1.5849481079737007	-0.34467977875093453	-0.7665800537170252	0.5920126319133775	-1.4927894693524473	-1.386932043643891
ASCL1	-1.6169531538284387	-1.5849481079737007	0.5843077505123984	-0.8224996850645313	-0.7492973270193094	-1.4927894693524473	-1.386932043643891
ATF1	-0.12529577875147838	-1.3882725567955845	-1.2830245869424628	-0.7433324738058915	-0.29892717041598155	-1.4927894693524473	-0.7385722603691117
ATF2	-1.6169531538284387	-1.5849481079737007	-0.3491357210845003	-1.2484659620808498	-1.9050647931307425	-0.12132048241271405	-0.324899572265745
ATF3	-1.6169531538284387	-1.5849481079737007	-0.12224566375308413	-1.2484659620808498	-1.9037173225366852	0.38167578838254623	-1.2297068062778744
ATF4	-0.769145174994212	-1.2273203706869946	-1.438501732289116	-1.1877469704963461	-1.7480932931721975	-0.5379299657363167	0.4625483784021469
ATF5	-1.6169531538284387	-1.5849481079737007	-0.08922779531355864	-1.2484659620808498	-1.9431795831593457	-0.22755645411685688	-0.4976733058908998
ATF6	-0.899582581787845	-1.5158628204232927	-1.5208410151355243	-1.2484659620808498	-1.9860930652996163	-1.3129112055699073	2.1265173067677177
ATF6B	-1.3607498529428228	-1.584948060639521	-0.7074537574895313	-1.2484659620808498	-1.9737670353404426	-0.9301461738630795	0.9711859695703828
BACH1	-1.363767219179967	-1.3652664550179678	-1.4875988547181507	-1.1760949935532778	-1.8934717683089004	-1.4927894693524473	2.392803567739641
BACH2	-1.4259657175616889	-1.4446814131760843	-1.5208410151355243	-1.0517951155828598	-1.7291688518843777	-1.3124202707488062	2.029622258024424
BARX1	-1.6169531538284387	-1.5567793896371953	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	2.0105037731578745	-1.386932043643891
BATF	-1.6169531538284387	-1.5849481079737007	1.7561955028954461	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
BATF3	-1.3628083796619614	-1.0595558327259964	-1.5208410151355243	-1.0466837214057172	-1.7342148720006547	-1.4927894693524473	1.8789870339240886
BBX	-1.2158916192445395	-0.05890679440111614	-1.376700888582621	-0.9295963463184089	-1.4594998810401025	-1.1995314797889371	-0.03227768180325123
BCL6	-0.5525867867062155	0.3235907329250995	-1.3179354930570786	-1.2484659620808498	-1.959180300183097	-0.1629356679058752	-1.357052444684211
BCL6B	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	-0.2136011150955262	1.5521528182208633	-1.4927894693524473	-1.386932043643891
BDP1	-1.6169531538284387	-1.5849481079737007	-1.4144852940366128	-0.1716638808603556	1.0729347393621353	-1.3138214296626958	-1.386932043643891
BHLHE22	-1.6169531538284387	-1.5849481079737007	1.799997558949337	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
BHLHE40	-1.6169531538284387	-1.5849481079737007	0.3427620514946444	-1.2484659620808498	-1.9005919444697277	0.01599542894851379	-1.386932043643891
BHLHE41	3.5960252234057606	-1.5849481079737007	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.0606124467821054
CDC5L	-1.4064016920314841	-1.0065690088496548	-1.5208410151355243	-0.40501220959548057	0.4256634602086489	-1.4927894693524473	-0.8771986795672013
CEBPB	-0.640820663799399	0.7467908162930409	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-0.28681250587159934	-1.1863058102576844
CEBPD	-0.7073260148333284	0.9967106735782609	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-0.9079274599341343	-0.5807601524294544
CEBPG	-1.6169531538284387	-1.396925529879124	-1.1260602751206326	-1.2484659620808498	-1.9504595648326821	0.7993414168018399	-0.575357062701744
CLOCK	0.041195899260576326	-1.5849432565102533	-1.5208410151355243	-1.035126219826993	-0.8309179070336675	-0.4367127450925695	-0.8636240422004611
CREB1	-1.6169531538284387	-1.5849481079737007	-0.6021253067579381	-0.6473716550546458	0.0746785920838763	-0.9815018341881218	-1.386932043643891
CREB3	-1.0694316508212425	-1.5849481079737007	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	2.5544828590424324
CREB3L1	1.6016537046070807	-1.5849481079737007	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	0.4759442676123685
